name,price,url,image,bedrooms,sqft,address,city,state,zip
"9 Joan Rd, Boston, MA 02136",645000,https://www.realtor.com/realestateandhomes-detail/9-Joan-Rd_Boston_MA_02136_M40225-98531,https://ap.rdcpix.com/fde4a63de7a0175bb99117ba30c69a7dl-b168265334od-w480_h480_q80.jpg,4,2200,9 Joan Rd,Boston,MA,02136
"76 Green St, Boston, MA 02129",1249000,https://www.realtor.com/realestateandhomes-detail/76-Green-St_Boston_MA_02129_M40726-88330,https://ap.rdcpix.com/58d72fcbc6a5186e6e4fd75450a94f1al-b2090642934od-w480_h480_q80.jpg,3,1600,76 Green St,Boston,MA,02129
"36 Lime St, Boston, MA 02108",15999000,https://www.realtor.com/realestateandhomes-detail/36-Lime-St_Boston_MA_02108_M49092-66398,https://ap.rdcpix.com/38e0146f036cf3628b8788dfb098bc6fl-m861193275od-w480_h480_q80.jpg,5,5875,36 Lime St,Boston,MA,02108
"31 Monument Sq, Boston, MA 02129",6500000,https://www.realtor.com/realestateandhomes-detail/31-Monument-Sq_Charlestown_MA_02129_M40925-51077,https://ap.rdcpix.com/a45a5ec2a360fe445afbd83f15f158dal-m4098329006od-w480_h480_q80.jpg,6,4656,31 Monument Sq,Boston,MA,02129
"122 Aldrich St, Boston, MA 02131",949900,https://www.realtor.com/realestateandhomes-detail/122-Aldrich-St_Boston_MA_02131_M34444-13581,https://ap.rdcpix.com/e55f4b25502f5c04fe76fe11acc537cel-m3051512520od-w480_h480_q80.jpg,7,2616,122 Aldrich St,Boston,MA,02131
"483 Beacon St Apt 75, Boston, MA 02115",815000,https://www.realtor.com/realestateandhomes-detail/483-Beacon-St-Apt-75_Boston_MA_02115_M42361-64573,https://ap.rdcpix.com/e7fafb258aface8599405569c6d15ac6l-m1010720309od-w480_h480_q80.jpg,2,648,483 Beacon St Apt 75,Boston,MA,02115
"56 Business St Unit 56, Boston, MA 02136",549000,https://www.realtor.com/realestateandhomes-detail/56-Business-St_Boston_MA_02136_M39779-94651,https://ap.rdcpix.com/ac1a1c25d25d8d5976dc995d062fb423l-m3442105908od-w480_h480_q80.jpg,4,1718,56 Business St Unit 56,Boston,MA,02136
"7 Waumbeck St Unit 2, Boston, MA 02121",649000,https://www.realtor.com/realestateandhomes-detail/7-Waumbeck-St-2_Boston_MA_02121_M98193-04946,https://ap.rdcpix.com/17710242d3fedfb5b01b9e10161f7327l-b3408567726od-w480_h480_q80.jpg,3,1566,7 Waumbeck St Unit 2,Boston,MA,02121
"22 Brimmer St, Boston, MA 02108",13995000,https://www.realtor.com/realestateandhomes-detail/22-Brimmer-St_Boston_MA_02108_M36649-56578,https://ap.rdcpix.com/9824113a6c4ff02241d12d6bd396889cl-m2115545516od-w480_h480_q80.jpg,4,6138,22 Brimmer St,Boston,MA,02108
"244 Beacon St Apt 1B, Boston, MA 02116",1265000,https://www.realtor.com/realestateandhomes-detail/244-Beacon-St-Apt-1B_Boston_MA_02116_M43716-03530,https://ap.rdcpix.com/bd8e8b99ca2f8dc0cba5d9e1d30f38dbl-m3590786010od-w480_h480_q80.jpg,3,1173,244 Beacon St Apt 1B,Boston,MA,02116
"183 Temple St, Boston, MA 02132",550000,https://www.realtor.com/realestateandhomes-detail/183-Temple-St_Boston_MA_02132_M42974-56899,https://ap.rdcpix.com/4e114ad3f07eebd37e2ec51859e8c472l-m4149538293od-w480_h480_q80.jpg,4,1900,183 Temple St,Boston,MA,02132
"2 Pier 8 13th St Unit Dockb, Boston, MA 02129",499000,https://www.realtor.com/realestateandhomes-detail/2-Pier-8-13th-St-Unit-Dockb_Boston_MA_02129_M92729-75358,https://ap.rdcpix.com/c042b5210fb5557f15b0108f4876ff0al-b1521101533od-w480_h480_q80.jpg,3,1152,2 Pier 8 13th St Unit Dockb,Boston,MA,02129
"138 Sycamore St, Boston, MA 02131",1095000,https://www.realtor.com/realestateandhomes-detail/138-Sycamore-St_Boston_MA_02131_M48711-77456,https://ap.rdcpix.com/3d47b14e580307fcef76cb4d24c77b9dl-m994381128od-w480_h480_q80.jpg,7,2628,138 Sycamore St,Boston,MA,02131
"14 Manila Ave, Boston, MA 02136",629900,https://www.realtor.com/realestateandhomes-detail/14-Manila-Ave_Boston_MA_02136_M34958-51954,https://ap.rdcpix.com/cf8e0f92770647fb845029d30765e303l-m1216164377od-w480_h480_q80.jpg,3,1326,14 Manila Ave,Boston,MA,02136
"42 Cedar Grove St, Boston, MA 02124",849999,https://www.realtor.com/realestateandhomes-detail/42-Cedar-Grove-St_Boston_MA_02124_M42536-21482,https://ap.rdcpix.com/b400f135c16dc36b7dcc15b4e7ed24a7l-m1192162646od-w480_h480_q80.jpg,4,1740,42 Cedar Grove St,Boston,MA,02124
"49 Grove St Unit Ph, Boston, MA 02114",2400000,https://www.realtor.com/realestateandhomes-detail/49-Grove-St_Boston_MA_02114_M92898-25212,https://ap.rdcpix.com/219dc3b0d04855b8c2b3f1f4653d8407l-m2802928301od-w480_h480_q80.jpg,1,1327,49 Grove St Unit Ph,Boston,MA,02114
"34-R Marcella St, Boston, MA 02119",725000,https://www.realtor.com/realestateandhomes-detail/34R-Marcella-St_Boston_MA_02119_M42604-83243,https://ap.rdcpix.com/e5effc37bf04ad7431ca5d22247cbb8bl-m115789753od-w480_h480_q80.jpg,3,1042,34-R Marcella St,Boston,MA,02119
"252 Marlborough St Apt 4, Boston, MA 02116",1475000,https://www.realtor.com/realestateandhomes-detail/252-Marlborough-St-Apt-4_Boston_MA_02116_M93611-94008,https://ap.rdcpix.com/62f0c7f6476c127c2b0835314dbefecdl-b1529779004od-w480_h480_q80.jpg,2,1170,252 Marlborough St Apt 4,Boston,MA,02116
"3500 Washington St, Boston, MA 02130",749000,https://www.realtor.com/realestateandhomes-detail/3500-Washington-St_Boston_MA_02130_M41835-41914,https://ap.rdcpix.com/e85893b86946203d5c725ca50721ad38l-b1526091055od-w480_h480_q80.jpg,3,1532,3500 Washington St,Boston,MA,02130
"50 Brimmer St, Boston, MA 02108",3950000,https://www.realtor.com/realestateandhomes-detail/50-Brimmer-St_Boston_MA_02108_M44241-38359,https://ap.rdcpix.com/04385a3134c5c514b05c7207d3422c9al-m1213217018od-w480_h480_q80.jpg,3,3177,50 Brimmer St,Boston,MA,02108
"1306 Columbia Rd Apt 4A, Boston, MA 02127",799000,https://www.realtor.com/realestateandhomes-detail/1306-Columbia-Rd-Apt-4A_Boston_MA_02127_M30808-78015,https://ap.rdcpix.com/e941311f1bac2d3065e5a15854d1604cl-m4176606910od-w480_h480_q80.jpg,2,1211,1306 Columbia Rd Apt 4A,Boston,MA,02127
"328 Commercial St Apt 35, Boston, MA 02109",799000,https://www.realtor.com/realestateandhomes-detail/328-Commercial-St-Apt-35_Boston_MA_02109_M46644-23070,https://ap.rdcpix.com/2298ad0a652a484037acfd074594b8f5l-b938375022od-w480_h480_q80.jpg,1,763,328 Commercial St Apt 35,Boston,MA,02109
"1810 Dorchester Ave Apt 8, Boston, MA 02124",299000,https://www.realtor.com/realestateandhomes-detail/1810-Dorchester-Ave-Apt-8_Boston_MA_02124_M34853-04286,https://ap.rdcpix.com/6540fd20a02829ef6435bb0b932be16al-m3711290998od-w480_h480_q80.jpg,1,450,1810 Dorchester Ave Apt 8,Boston,MA,02124
"125 Commonwealth Ave, Boston, MA 02116",14250000,https://www.realtor.com/realestateandhomes-detail/125-Commonwealth-Ave_Boston_MA_02116_M44472-71582,https://ap.rdcpix.com/dd843ae14bccb1c4b477cf8633703491l-m1368527226od-w480_h480_q80.jpg,5,9000,125 Commonwealth Ave,Boston,MA,02116
"4 Gloucester St, Boston, MA 02115",19995000,https://www.realtor.com/realestateandhomes-detail/4-Gloucester-St_Boston_MA_02115_M97528-06112,https://ap.rdcpix.com/3293997098dac2854743666fc53d4de8l-m2576049182od-w480_h480_q80.jpg,7,9924,4 Gloucester St,Boston,MA,02115
"11 Pacific St, Boston, MA 02127",779000,https://www.realtor.com/realestateandhomes-detail/11-Pacific-St_Boston_MA_02127_M35232-56943,https://ap.rdcpix.com/a502eb77807859b983f6f4f6c10f9ee1l-m2820778953od-w480_h480_q80.jpg,7,2535,11 Pacific St,Boston,MA,02127
